Hepler	sameSp	Type
CK	S5	NS
CK	S5	NS
CK	S10	KS
CK	S19	KS
CK	S27	NS
CK	S30	KS
CK	S32	KS
CK	S33	KS
CK	S57	KS
CK	S57	KS
CK	S60	NS
CK	S66	KS
CK	S73	NS
CK	S74	KS
CK	S75	NS
CK	S76	KS
CK	S77	KS
CK	S80	NS
CK	S86	KS
CK	S93	KS
CK	S95	KS
CK	S96	KS
CK	S105	KS
CK	S108	KS
CK	S108	KS
CK	S119	KS
CK	S122	KS
CK	S142	KS
CK	S142	KS
CK	S143	NS
CK	S147	KS
CK	S157	KS
CK	S160	KS
CK	S169	KS
CK	S174	KS
CK	S177	KS
CK	S184	KS
CK	S219	NS
CK	S222	KS
CK	S225	KS
CK	S227	KS
CK	S230	KS
CK	S231	KS
CK	S239	KS
CK	S240	KS
CK	S240	KS
CK	S245	KS
CK	S248	KS
CK	S259	KS
CK	S260	NS
CK	S271	KS
CK	S273	NS
CK	S283	KS
CK	S283	KS
CK	S291	KS
CK	S299	KS
CK	S300	KS
CK	S301	KS
CK	S301	KS
CK	S303	KS
CK	S314	KS
CK	S316	KS
CK	S318	KS
CK	S321	KS
CK	S328	KS
CK	S328	KS
CK	S330	KS
CK	S345	NS
CK	S348	KS
CK	S348	KS
CK	S353	KS
CK	S370	KS
CK	S372	NS
CK	S377	NS
CK	S383	KS
CK	S386	KS
CK	S391	KS
CK	S396	KS
CK	S397	KS
CK	S404	KS
CK	S408	NS
CK	S409	KS
CK	S409	KS
CK	S421	KS
CK	S423	NS
CK	S434	KS
CK	S436	KS
CK	S437	NS
CK	S440	KS
CK	S449	KS
CK	S451	NS
CK	S454	KS
CK	S456	NS
CK	S457	KS
CK	S462	KS
CK	S462	KS
CK	S463	KS
CK	S473	NS
CK	S474	KS
CK	S480	KS
CK	S483	NS
CK	S495	NS
CK	S495	NS
CK	S495	NS
CK	S495	NS
CK	S504	KS
CK	S506	NS
CK	S522	KS
CK	S534	NS
CK	S545	NG
CK	S554	KS
CK	S566	KS
CK	S566	KS
CK	S569	KS
CK	S576	NS
CK	S576	NS
CK	S581	KS
CK	S582	KS
CK	S588	KS
CK	S588	KS
CK	S599	KS
CK	S609	KS
CK	S611	KS
CK	S613	NS
CK	S615	NS
CK	S620	KS
CK	S623	KS
CK	S624	KS
CK	S624	KS
CK	S624	KS
CK	S632	NS
CK	S634	KS
CK	S637	KS
CK	S638	NS
CK	S641	NS
CK	S652	KS
CK	S653	KS
CK	S656	KS
CK	S658	KS
CK	S658	KS
CK	S659	KS
CK	S662	NS
CK	S663	KS
CK	S667	KS
CK	S672	NS
CK	S678	KS
CK	S684	KS
CK	S685	KS
CK	S686	KS
CK	S688	NS
CK	S699	KS
CK	S715	KS
CK	S721	KS
CK	S722	KS
CK	S734	KS
CK	S742	KS
CK	S744	KS
CK	S753	KS
CK	S758	KS
CK	S760	NS
CK	S762	KS
CK	S763	NS
CK	S767	NS
CK	S769	KS
CK	S771	KS
CK	S772	NS
CK	S773	NS
CK	S779	KS
CK	S783	NS
CK	S805	KS
CK	S806	KS
CK	S806	KS
CK	S812	NS
CK	S815	KS
CK	S816	KS
CK	S816	KS
CK	S821	KS
CK	S825	KS
S63	S1	NS
S11	S2	NS
S26	S3	NS
S08	S4	KS
S26	S4	KS
S20	S5	NS
S26	S5	NS
S20	S5	NS
S63	S5	NS
S63	S5	NS
S63	S5	NS
S63	S5	NS
S11	S5	NS
S60	S5	NS
S64	S5	NS
S08	S5	NS
S64	S5	NS
S08	S5	NS
S63	S5	NS
S47	S5	NS
S47	S5	NS
S26	S5	NS
S11	S5	NS
S47	S6	NS
S26	S6	NS
S60	S7	NS
S64	S7	NS
S60	S8	NS
S60	S9	KS
S64	S11	NG
S60	S12	NG
S47	S13	KS
S11	S14	KS
S47	S14	KS
