NCBI_Refseq	GTDB_Phylum	GTDB_Class	GTDB_Order	GTDB_Family	GTDB_Genus	GTDB_Species	Isolation Source
GCA_001872455	Chloroflexota	Anaerolineae	Anaerolineales	EnvOPS12	UBA8950	UBA8950 sp001872455	freshwater enviroment
GCA_002029975	Firmicutes_A	Clostridia	Peptostreptococcales	Acidaminobacteraceae	ML8-F1	ML8-F1 sp002029975	freshwater enviroment
GCA_002347925	Chloroflexota	UBA2235	UBA12225	UBA12225	UBA12225	UBA12225 sp002347925	freshwater enviroment
GCA_002774355	Marinisomatota	UBA2242	UBA2242	UBA2242	0-14-0-20-45-22	0-14-0-20-45-22 sp002774355	freshwater enviroment
GCA_002791595	Zixibacteria	MSB-5A5	UM-FILTER-46-8	UM-FILTER-46-8	UM-FILTER-46-8	UM-FILTER-46-8 sp002791595	freshwater enviroment
GCA_002839185	Synergistota	Synergistia	Synergistales	Synergistaceae	Syner-03	Syner-03 sp002839185	freshwater enviroment
GCA_002839825	Bacteroidota	Kapabacteria	Kapabacteriales	UBA2268	PGYU01	PGYU01 sp002839825	freshwater enviroment
GCA_002839855	Goldbacteria	PGYV01	PGYV01	PGYV01	PGYV01	PGYV01 sp002839855	freshwater enviroment
GCA_002840285	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	PHAE01	PHAE01 sp002840285	freshwater enviroment
GCA_002840355	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	UBA9959	UBA9959	UBA9959 sp002840355	freshwater enviroment
GCA_002840975	Bacteroidota	Bacteroidia	Bacteroidales	F082	UBA6244	UBA6244 sp002840975	freshwater enviroment
GCA_002842085	Chloroflexota	Anaerolineae	CG2-30-64-16	CG2-30-64-16	CG2-30-64-16	CG2-30-64-16 sp002842085	freshwater enviroment
GCA_002842095	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	HGW-BRC1-1	HGW-BRC1-1 sp002842095	freshwater enviroment
GCA_002842515	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp002842515	freshwater enviroment
GCA_002842755	Bacteroidota	Bacteroidia	Bacteroidales	F082	UBA6192	UBA6192 sp002842755	freshwater enviroment
GCA_002843005	Actinobacteriota	RBG-13-55-18	Fen-727	Fen-727	PHEX01	PHEX01 sp002843005	freshwater enviroment
GCA_003450815	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	UBA9959	UBA9634	UBA9634 sp003450815	freshwater enviroment
GCA_003477045	Delongbacteria	UBA4055	UBA4055	UBA4055	UBA12480	UBA12480 sp003477045	freshwater enviroment
GCA_003671055	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	F1-140-MAGs142	F1-140-MAGs142 sp003671055	freshwater enviroment
GCA_003671075	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	QWPT01	QWPT01 sp003671075	freshwater enviroment
GCA_004322425	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	VBAS01	VBAS01 sp004322425	freshwater enviroment
GCA_009691725	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	F1-60-MAGs104	F1-60-MAGs104 sp009691725	freshwater enviroment
GCA_009691765	Planctomycetota	GCA-002687715	GCA-002687715	GCA-002687715	SXUL01	SXUL01 sp009691765	freshwater enviroment
GCA_009691785	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	SYAC01	SYAC01 sp009691785	freshwater enviroment
GCA_009691805	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	F1-140-MAGs142	F1-140-MAGs142 sp009691805	freshwater enviroment
GCA_009691915	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	F1-60-MAGs104	F1-60-MAGs104 sp009691915	freshwater enviroment
GCA_009692045	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	SYPI01	SYPI01 sp009692045	freshwater enviroment
GCA_009692115	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	JABFSM01	JABFSM01 sp009692115	freshwater enviroment
GCA_009693575	Bacteroidota	Bacteroidia	NS11-12g	SHWZ01	SHWZ01	SHWZ01 sp009693575	freshwater enviroment
GCA_009694435	Actinobacteriota	Acidimicrobiia	IMCC26256	PALSA-555	SHUY01	SHUY01 sp009694435	freshwater enviroment
GCA_009704535	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Pontimonas	Pontimonas sp009704535	freshwater enviroment
GCA_009773155	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	UBA9959	UBA2231	UBA2231 sp009773155	freshwater enviroment
GCA_009773735	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	UBA2212	UBA2212 sp009773735	freshwater enviroment
GCA_009885945	Chloroflexota	Anaerolineae	Anaerolineales	EnvOPS12	OLB14	OLB14 sp009885945	freshwater enviroment
GCA_009923455	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Aquiluna	Aquiluna sp009923455	freshwater enviroment
GCA_009925875	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	RFQD01	RFQD01 sp009925875	freshwater enviroment
GCA_009926625	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	F1-60-MAGs104	F1-60-MAGs104 sp009926625	freshwater enviroment
GCA_009926865	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	UBA964	UBA964 sp009926865	freshwater enviroment
GCA_009927485	Bacteroidota	Bacteroidia	UBA7662	UBA7662	SYHX01	SYHX01 sp009927485	freshwater enviroment
GCA_009928005	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	Sediminibacterium sp009928005	freshwater enviroment
GCA_013140635	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	JABFSM01	JABFSM01 sp013140635	freshwater enviroment
GCA_013140805	Eisenbacteria	RBG-16-71-46	RBG-16-71-46	RBG-16-71-46	JABFRW01	JABFRW01 sp013140805	freshwater enviroment
GCA_013140985	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	JJ008	JJ008 sp013140985	freshwater enviroment
GCA_013141055	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	ELB16-189	ELB16-189 sp013141055	freshwater enviroment
GCA_013141385	Bacteroidota	Bacteroidia	Bacteroidales	BBW3	UBA8529	UBA8529 sp013141385	freshwater enviroment
GCA_013376995	Bacteroidota	Bacteroidia	Bacteroidales	Lentimicrobiaceae	Cfx3-02	Cfx3-02 sp013376995	freshwater enviroment
GCA_013824685	Caldisericota	Caldisericia	Cryosericales	Cryosericaceae	Cryosericum	Cryosericum sp013824685	freshwater enviroment
GCA_014376435	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Pseudobdellovibrio	Pseudobdellovibrio sp014376435	freshwater enviroment
GCA_903821715	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	TMED14	TMED14 sp903821715	freshwater enviroment
GCA_903821875	Spirochaetota	Spirochaetia	Treponematales	UBA8932	CAIJMU01	CAIJMU01 sp903821875	freshwater enviroment
GCA_903822495	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	CAIJPD01	CAIJPD01 sp903822495	freshwater enviroment
GCA_903825395	Bacteroidota	Bacteroidia	Flavobacteriales	CAIKAF01	CAIKAF01	CAIKAF01 sp903825395	freshwater enviroment
GCA_903831575	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp903831575	freshwater enviroment
GCA_903832165	Bacteroidota	Bacteroidia	Bacteroidales	UBA12481	UBA12481	UBA12481 sp903832165	freshwater enviroment
GCA_903834785	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	CAILKP01	CAILKP01 sp903834785	freshwater enviroment
GCA_903834845	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	JAAFHB01	JAAFHB01 sp903834845	freshwater enviroment
GCA_903837495	Bacteroidota	Bacteroidia	Flavobacteriales	CAIKAF01	CAIKAF01	CAIKAF01 sp903837495	freshwater enviroment
GCA_903837525	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp903837525	freshwater enviroment
GCA_903843285	Omnitrophota	Koll11	UBA1560	2-01-FULL-45-10	CAIMPC01	CAIMPC01 sp903843285	freshwater enviroment
GCA_903844055	Firmicutes	Bacilli	Izemoplasmatales	UBA5603	UBA12489	UBA12489 sp903844055	freshwater enviroment
GCA_903844815	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	LD21	LD21 sp903844815	freshwater enviroment
GCA_903844845	Chloroflexota	Dehalococcoidia	Dehalococcoidales	UBA1222	SURF-27	SURF-27 sp903844845	freshwater enviroment
