Metabolite	Substance classification	S08	S26	S20
(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate	Cofactors,vitamins or synthetic precursors or intermediates	0	2.7354	0
(E)-2-O-Cinnamoyl-beta-D-glucopyranose	Carbon Source	1.2927	0	0
(R) 2,3-Dihydroxy-3-methylvalerate	Lipids and lipid-like molecules	1.7753	0	1.6022
1-(3-Carboxypropyl)-3,7-dimethylxanthine	Purine nucleosides	0	1.4072	0
11-Hydroxy-9-tridecenoic acid	Lipids and lipid-like molecules	0	0	1.9085
12b-Hydroxy-5b-cholanoic acid	Lipids and lipid-like molecules	0	2.9499	0
13-Oxo-9,11-tridecadienoic acid	Lipids and lipid-like molecules	2.2624	0	0
15-Octadecene-9,11,13-triynoic acid	Lipids and lipid-like molecules	0	1.3896	0
2-Hydroxymyristic acid	Lipids and lipid-like molecules	0	0	7.7546
2-O-Methyladenosine	Purine nucleosides	0	0	2.065
3-Hydroxymugineic acid	Siderophore	9.4031	16.1292	8.3938
3-Hydroxyvaleric acid	Lipids and lipid-like molecules	0	8.5283	0
3-Methylbutyl hexanoate	Lipids and lipid-like molecules	0	5.8841	2.6744
3-Oxotetradecanoic acid	Lipids and lipid-like molecules	7.815	0	3.54
4-ene-Valproic acid	Lipids and lipid-like molecules	0	1.6282	0
4-Guanidinobutanoic acid	Amino acids, peptides, and analogues	1.5047	1.7924	0
4-Hydroxyretinoic acid glucuronide	Lipids and lipid-like molecules	0	1.4697	0
4-Oxo-1-(3-pyridyl)-1-butanone	Cofactors,vitamins or synthetic precursors or intermediates	1.2247	0	0
4-Phosphopantothenoylcysteine	Cofactors,vitamins or synthetic precursors or intermediates	0	6.4812	2.7636
5-Tetradecenoic acid	Lipids and lipid-like molecules	0	0	7.3713
6-Malonylcosmosiin	Antioxidant substances	1.6128	2.1207	1.7248
Aerobactin	Siderophore	9.0432	10.7708	10.1595
Aminocaproic acid	Lipids and lipid-like molecules	1.4135	1.8187	1.5794
Arginyl-Tryptophan	Amino acids, peptides, and analogues	0	1.6989	0
Arginyl-Valine	Amino acids, peptides, and analogues	0	1.8035	1.8126
Aspartyl-Alanine	Amino acids, peptides, and analogues	5.8755	7.8168	3.7085
Auberganol	Lipids and lipid-like molecules	0	1.9521	1.8562
Blepharin	Carbon Source	1.8707	2.3149	0
CDP-DG	Lipids and lipid-like molecules	1.4101	1.8603	1.5066
Clausarinol	Antioxidant substances	0	1.3583	0
Cyclo(Leu-Phe)	Amino acids, peptides, and analogues	1.1898	1.4249	1.2806
Desglucocheirotoxin	Lipids and lipid-like molecules	0	1.2761	1.4271
Digoxin	Lipids and lipid-like molecules	1.6803	0	1.3551
D-NMAPPD	Cofactors,vitamins or synthetic precursors or intermediates	0	31.8821	0
Dodecanedioic acid	Lipids and lipid-like molecules	0	2.0051	0
Domoic acid	Amino acids, peptides, and analogues	0	3.7617	2.849
Ethyl dodecanoate	Lipids and lipid-like molecules	0	0	1.8631
Ethyl glucuronide	Carbon Source	8.5663	0	0
Ethyl nonanoate	Lipids and lipid-like molecules	0	3.4471	0
Etodolac acyl glucuronide	Carbon Source	0	2.1402	1.8462
Flazine	Indoles and derivatives	0	1.6104	0
Gamma glutamyl ornithine	Amino acids, peptides, and analogues	9.2899	10.734	9.2051
Glutamylglycine	Amino acids, peptides, and analogues	1.2963	1.5197	1.2243
Glutamyllysine	Amino acids, peptides, and analogues	3.3586	3.8104	0
Glutamylvaline	Amino acids, peptides, and analogues	0.8353	0	0
Glutaric acid	Amino acids, peptides, and analogues	0	1.5074	0
Harderoporphyrin	Cofactors,vitamins or synthetic precursors or intermediates	0	0	5.1682
Hypoxanthine	Purines and purine derivatives	0	0	1.7285
Indole	Indoles and derivatives	0	1.2974	0
Indole-3-acetyl-L-isoleucine	Indoles and derivatives	0	1.5891	0
Indoleacetaldehyde	Indoles and derivatives	1.3541	1.6028	1.6019
Indoleacetyl glutamine	Amino acids, peptides, and analogues	0	1.3791	1.3543
Isoleucyl-Methionine	Amino acids, peptides, and analogues	1.3785	2.1505	1.75
Kanzonol F	Antioxidant substances	0	0	30.1081
Lipoyllysine	Antioxidant substances	0	2.2652	0
L-phenylalanyl-L-proline	Amino acids, peptides, and analogues	0	1.3556	1.1699
L-Proline	Amino acids, peptides, and analogues	0	1.657	1.2903
L-Pyridosine	Amino acids, peptides, and analogues	0	1.3032	0
Lumichrome	Cofactors,vitamins or synthetic precursors or intermediates	1.307	1.7697	1.467
Methionyl-Phenylalanine	Amino acids, peptides, and analogues	0	1.8395	0
N-Acetyl-D-phenylalanine	Amino acids, peptides, and analogues	0	1.632	1.251
N-Acetylisoputreanine	Amino acids, peptides, and analogues	0	2.1246	0
Nb-trans-p-Coumaroylserotonin glucoside	Carbon Source	4.3107	4.6692	4.2599
Neuromedin C 1-8	Amino acids, peptides, and analogues	1.1834	0	0
N-lactoyl-Isoeucine	Amino acids, peptides, and analogues	2.6508	3.517	2.7102
Notoginsenoside R10	Lipids and lipid-like molecules	1.3019	0	0
N-Palmitoyl tyrosine	Amino acids, peptides, and analogues	1.3045	0	0
Oxoadipic acid	Amino acids, peptides, and analogues	5.3826	6.3902	0
PABA	Cofactors,vitamins or synthetic precursors or intermediates	2.0759	2.1464	1.682
Pandamarilactone 31	Pyridines and derivatives	0	0	7.2465
Phenylalanyl-Alanine	Amino acids, peptides, and analogues	0	2.4811	0
Phenylalanyl-Gamma-glutamate	Amino acids, peptides, and analogues	3.6101	5.9042	0
Physagulin C	Lipids and lipid-like molecules	0	0	7.0022
Phytosphingosine-1-P	Lipids and lipid-like molecules	0	6.0656	4.1365
Pisumionoside	Lipids and lipid-like molecules	1.5057	1.8461	0
Procurcumenol	Lipids and lipid-like molecules	10.6447	0	0
Prolyl-Alanine	Amino acids, peptides, and analogues	0	0	1.3713
Protoporphyrin	Cofactors,vitamins or synthetic precursors or intermediates	0	0	4.8998
P-Salicylic acid	Cofactors,vitamins or synthetic precursors or intermediates	2.3938	4.3714	0
Pyridinoline	Amino acids, peptides, and analogues	2.0023	2.214	0
Pyroglutamic acid	Amino acids, peptides, and analogues	1.9712	1.8613	0
Quinoside D	Lipids and lipid-like molecules	0	0	1.253
Rac-5,6-Epoxy-retinoyl-beta-D-glucuronide	Lipids and lipid-like molecules	0	1.4552	0
Riboflavin	Cofactors,vitamins or synthetic precursors or intermediates	0	2.3515	1.467
Se-Adenosylselenohomocysteine	Lipids and lipid-like molecules	0	0	2.036
Serotonin	Indoles and derivatives	0	0	3.4251
Serylisoleucine	Amino acids, peptides, and analogues	0	1.3171	0
Small bacteriocin	Amino acids, peptides, and analogues	0	15.1175	0
Spermic acid 2	Amino acids, peptides, and analogues	0	2.0729	0
Styrene	Carbon Source	0	0	2.2883
Theaflavic acid	Antioxidant substances	0	0	1.64
Thymidine	Pyrimidine nucleosides	9.5598	11.2867	9.6501
Tryptophyl-Proline	Amino acids, peptides, and analogues	0	1.6017	0
Undecylenic acid	Lipids and lipid-like molecules	1.4107	1.5505	0
Uric acid	Nitrogen source	1.3746	0	0
Valyl-Glycine	Amino acids, peptides, and analogues	2.9888	3.4442	2.4934
Valyl-Hydroxyproline	Amino acids, peptides, and analogues	1.1859	0	0
Valyl-Proline	Amino acids, peptides, and analogues	1.5456	1.9778	1.4287
