NCBI_RefSeq	Heme	ENV	checkm_completeness	checkm_contamination	checkm_marker_set_count	coding_density	gc_percentage	genome_size	Phylum	Class	Order	Family	Genus	Species
GCA_000431155	0.30	host	99.06	0.38	265	92.06094504	47.89506919	2540781	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum sp000431155
GCA_000431215	0.30	host	96.6	0.57	265	89.95060151	53.63587867	2540361	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-1031	CAG-1031 sp000431215
GCA_000431235	0.20	host	100	0	75	91.48006396	28.1764195	1865014	Firmicutes	Bacilli	ML615J-28	CAG-698	CAG-698	CAG-698 sp000431235
GCA_000431535	0.30	host	96.64	0.67	149	89.95178565	44.86655226	2389330	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp000431535
GCA_000431795	0.20	host	92.42	1.12	89	89.61610006	26.78088528	1241287	Firmicutes	Bacilli	RF39	UBA660	CAG-302	CAG-302 sp000431795
GCA_000431835	0.10	host	98.2	0.29	170	86.39641802	36.82119423	2254171	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	Succinivibrio sp000431835
GCA_000432595	0.20	host	94.94	2.41	89	91.05379005	27.24669732	1152611	Firmicutes	Bacilli	RF39	UBA660	CAG-710	CAG-710 sp000432595
GCA_000432775	0.30	host	95	0.95	210	91.64719344	53.59987759	2571052	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	CAG-831	CAG-831 sp000432775
GCA_000432895	0.10	host	95.51	0	89	88.68819385	25.93238994	1968271	Firmicutes	Bacilli	RFN20	CAG-449	CAG-449	CAG-449 sp000432895
GCA_000433035	0.20	host	98.67	0.11	75	90.90974796	28.42462152	1674156	Firmicutes	Bacilli	ML615J-28	CAG-313	CAG-313	CAG-313 sp000433035
GCA_000433355	0.30	host	93.49	1.83	210	89.61193745	51.77530884	2894688	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp000433355
GCA_000433475	0.20	host	92.13	1.85	89	89.09831155	27.13239329	1442272	Firmicutes	Bacilli	RF39	UBA660	CAG-605	CAG-605 sp000433475
GCA_000433675	0.20	host	93.82	0.56	89	92.06164136	24.97269743	1347407	Firmicutes	Bacilli	RF39	UBA660	CAG-433	CAG-433 sp000433675
GCA_000433875	0.20	host	92.7	1.12	89	91.61995363	26.68421772	1208442	Firmicutes	Bacilli	RF39	UBA660	CAG-884	CAG-884 sp000433875
GCA_000434055	0.30	host	96.6	0	149	90.41222049	44.42772895	2206392	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-488	CAG-488 sp000434055
GCA_000434175	0.20	host	93.82	0.72	89	89.67233343	24.15345498	927925	Firmicutes	Bacilli	RF39	UBA660	CAG-611	CAG-611 sp000434175
GCA_000434495	0.20	host	88.2	2.25	89	85.03346854	29.54967401	997205	Firmicutes	Bacilli	RF39	UBA660	CAG-533	CAG-533 sp000434495
GCA_000434555	0.20	host	90.45	1.69	89	90.99451211	25.51878172	1280819	Firmicutes	Bacilli	RF39	UBA660	CAG-1000	CAG-1000 sp000434555
GCA_000434635	0.20	host	98.43	0	149	88.00537614	56.74695291	2502913	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	CAG-110 sp000434635
GCA_000434695	0.60	host	95.81	0	149	88.647648	49.93602494	2435187	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_D	RuminococcuD sp000434695
GCA_000434835	0.10	host	92.42	0	89	91.62934657	27.42472459	1144379	Firmicutes	Bacilli	RF39	UBA660	CAG-594	CAG-594 sp000434835
GCA_000434935	0.30	host	95.95	0.03	210	92.75350041	49.37000309	2726820	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp000434935
GCA_000435075	0.20	host	95.95	0.03	210	90.70329778	48.02894624	2634773	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp000435075
GCA_000435335	0.70	host	97.76	0	149	85.63631644	40.73548958	2111088	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-964	CAG-964 sp000435335
GCA_000435475	0.30	host	98.39	0	124	84.88711667	45.01870899	1931286	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427	CAG-1427 sp000435475
GCA_000435495	0.20	host	95.56	0.81	124	87.54057864	42.97709405	1356933	Firmicutes_A	Clostridia_A	Christensenellales	CAG-552	CAG-552	CAG-552 sp000435495
GCA_000435615	0.40	host	95.39	0.78	141	90.17259449	45.60030593	2118260	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-238	CAG-238 sp000435615
GCA_000435715	0.20	host	97.61	0.71	141	88.10538742	45.3453503	2066053	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-145	CAG-145 sp000435715
GCA_000436375	0.20	host	96.77	0	93	89.28643374	48.96712765	1797002	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	CAG-495	CAG-495 sp000436375
GCA_000436795	0.30	host	86.41	0.47	268	89.48839119	42.51451965	2907319	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola sp000436795
GCA_000436975	0.20	host	91.57	2.81	89	92.51907866	26.26349823	1121934	Firmicutes	Bacilli	RF39	UBA660	CAG-1000	CAG-1000 sp000436975
GCA_000437895	0.20	host	94.38	4.49	89	90.66890939	25.79579747	1256209	Firmicutes	Bacilli	RF39	UBA660	CAG-914	CAG-914 sp000437895
GCA_000438195	0.20	host	93.82	3.37	89	89.6268273	27.50728451	1303150	Firmicutes	Bacilli	RF39	UBA660	CAG-776	CAG-776 sp000438195
GCA_000754445	0.30	freshwater enviroment	85.63	0	198	94.62456086	59.28406699	1083651	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Pontimonas	Pontimonas sp000754445
GCA_000817105	0.60	marine environment	90.17	0.85	117	94.02849118	51.43184709	2109986	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	TK06	MedAcidi-G3	MedAcidi-G3 sp000817105
