NCBI_RefSeq	Heme	checkm_completeness	checkm_contamination	checkm_marker_set_count	coding_density	gc_percentage	genome_size	Phylum	Class	Order	Family	Genus	Species
GCA_000170815	1	99.62	0	263	89.52811506	34.04214342	3214025	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter_B	Ulvibacter_B sp000170815
GCA_000431155	0.3	99.06	0.38	265	92.06094504	47.89506919	2540781	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum sp000431155
GCA_000431215	0.3	96.6	0.57	265	89.95060151	53.63587867	2540361	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-1031	CAG-1031 sp000431215
GCA_000431235	0.2	100	0	75	91.48006396	28.1764195	1865014	Firmicutes	Bacilli	ML615J-28	CAG-698	CAG-698	CAG-698 sp000431235
GCA_000431795	0.2	92.42	1.12	89	89.61610006	26.78088528	1241287	Firmicutes	Bacilli	RF39	UBA660	CAG-302	CAG-302 sp000431795
GCA_000432595	0.2	94.94	2.41	89	91.05379005	27.24669732	1152611	Firmicutes	Bacilli	RF39	UBA660	CAG-710	CAG-710 sp000432595
GCA_000432775	0.3	95	0.95	210	91.64719344	53.59987759	2571052	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	CAG-831	CAG-831 sp000432775
GCA_000432895	0.1	95.51	0	89	88.68819385	25.93238994	1968271	Firmicutes	Bacilli	RFN20	CAG-449	CAG-449	CAG-449 sp000432895
GCA_000433035	0.2	98.67	0.11	75	90.90974796	28.42462152	1674156	Firmicutes	Bacilli	ML615J-28	CAG-313	CAG-313	CAG-313 sp000433035
GCA_000433355	0.3	93.49	1.83	210	89.61193745	51.77530884	2894688	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp000433355
GCA_000433475	0.2	92.13	1.85	89	89.09831155	27.13239329	1442272	Firmicutes	Bacilli	RF39	UBA660	CAG-605	CAG-605 sp000433475
GCA_000433675	0.2	93.82	0.56	89	92.06164136	24.97269743	1347407	Firmicutes	Bacilli	RF39	UBA660	CAG-433	CAG-433 sp000433675
GCA_000433875	0.2	92.7	1.12	89	91.61995363	26.68421772	1208442	Firmicutes	Bacilli	RF39	UBA660	CAG-884	CAG-884 sp000433875
GCA_000434175	0.2	93.82	0.72	89	89.67233343	24.15345498	927925	Firmicutes	Bacilli	RF39	UBA660	CAG-611	CAG-611 sp000434175
GCA_000434495	0.2	88.2	2.25	89	85.03346854	29.54967401	997205	Firmicutes	Bacilli	RF39	UBA660	CAG-533	CAG-533 sp000434495
GCA_000434555	0.2	90.45	1.69	89	90.99451211	25.51878172	1280819	Firmicutes	Bacilli	RF39	UBA660	CAG-1000	CAG-1000 sp000434555
GCA_000434835	0.1	92.42	0	89	91.62934657	27.42472459	1144379	Firmicutes	Bacilli	RF39	UBA660	CAG-594	CAG-594 sp000434835
GCA_000434935	0.3	95.95	0.03	210	92.75350041	49.37000309	2726820	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp000434935
